GSM_IDENTIFIER	TYPE_NOVEL	CLASS	TYPE
GSM329814	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329995	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330204	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330299	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330075	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330123	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330124	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329477	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330386	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329789	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329854	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330065	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330114	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330186	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330174	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329730	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329733	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330060	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329459	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329907	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330207	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329768	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330121	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329929	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330265	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329874	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330352	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330011	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330180	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330267	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330308	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330306	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330274	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330183	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329828	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329773	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329815	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329816	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330073	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329923	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330360	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330181	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329824	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329769	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329954	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330370	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330053	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329465	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329849	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329784	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330345	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329827	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329803	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330215	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329740	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330138	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330117	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330276	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329723	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329990	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329446	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330036	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329770	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330126	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330135	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330009	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329830	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330024	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330129	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330177	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329920	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330178	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329833	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330013	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330145	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330228	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330046	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330021	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330301	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330356	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM337031	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM337022	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM337064	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM336985	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM336989	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM336997	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM337006	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM337025	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM337016	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM337015	Leukemia	Tumor	Acute lymphoblastic leukemia
