"GROUP"	"LABEL"
"298"	2	"TCGA.VG.A8LO.01A.11R.A406.31"
"299"	2	"TCGA.L9.A7SV.01A.11R.A39D.07"
"300"	2	"TCGA.W5.AA2X.01A.11R.A41I.07"
"301"	2	"TCGA.XQ.A8TA.01A.11R.A36G.07"
"302"	2	"TCGA.B6.A402.01A.11R.A239.07"
"303"	2	"TCGA.AL.3466.01A.02R.1351.07"
"304"	2	"TCGA.2F.A9KR.01A.11R.A38B.07"
"305"	2	"TCGA.H4.A2HQ.01A.11R.A180.07"
"306"	2	"TCGA.6A.AB49.01A.12R.A405.07"
"307"	2	"TCGA.NC.A5HK.01A.11R.A26W.07"
"308"	2	"TCGA.NC.A5HQ.01A.11R.A26W.07"
"309"	2	"TCGA.O2.A52N.01A.11R.A26W.07"
"310"	2	"TCGA.NC.A5HF.01A.11R.A26W.07"
"311"	2	"TCGA.NC.A5HD.01A.11R.A26W.07"
"312"	2	"TCGA.NC.A5HI.01A.11R.A26W.07"
"313"	3	"TCGA.YT.A95F.01A.11R.A42C.07"
"314"	3	"TCGA.ZB.A96M.01A.11R.A42S.07"
"315"	3	"TCGA.X7.A8D9.01A.11R.A42C.07"
"316"	3	"TCGA.ZB.A963.01A.11R.A42S.07"
"317"	3	"TCGA.X7.A8D8.01A.11R.A42C.07"
"318"	3	"TCGA.X7.A8M1.01A.11R.A42C.07"
"319"	3	"TCGA.4V.A9QM.01A.11R.A42C.07"
"320"	3	"TCGA.ZB.A96K.01A.11R.A42S.07"
"321"	3	"TCGA.4V.A9QX.01A.11R.A42C.07"
"322"	3	"TCGA.4V.A9QU.01A.11R.A42C.07"
"323"	3	"TCGA.YT.A95E.01A.11R.A42C.07"
"324"	3	"TCGA.3T.AA9L.01A.11R.A42C.07"
"325"	3	"TCGA.4V.A9QI.01A.11R.A42C.07"
"326"	3	"TCGA.YT.A95G.01A.11R.A42S.07"
"327"	3	"TCGA.ZB.A96E.01A.11R.A42S.07"
"328"	3	"TCGA.X7.A8DG.01A.11R.A42C.07"
"329"	3	"TCGA.3Q.A9WF.01A.11R.A42C.07"
"330"	3	"TCGA.ZB.A96B.01A.11R.A42S.07"
"331"	3	"TCGA.XU.AAXV.01A.11R.A42C.07"
"332"	3	"TCGA.XU.AAXW.01A.11R.A42C.07"
"333"	3	"TCGA.X7.A8DE.01A.11R.A42C.07"
"334"	3	"TCGA.X7.A8DJ.01A.11R.A42C.07"
"335"	3	"TCGA.X7.A8D7.11A.11R.A42C.07"
"336"	3	"TCGA.ZB.A96D.01A.11R.A42S.07"
"337"	3	"TCGA.4X.A9FB.01A.11R.A42C.07"
"338"	3	"TCGA.XU.AAXX.01A.11R.A42C.07"
"339"	3	"TCGA.ZB.A96Q.01A.11R.A42S.07"
"340"	3	"TCGA.X7.A8D6.01A.11R.A42C.07"
"341"	3	"TCGA.ZB.A96P.01A.11R.A42S.07"
"342"	3	"TCGA.4V.A9QS.01A.11R.A42C.07"
"343"	3	"TCGA.X7.A8M4.01A.11R.A42C.07"
"344"	3	"TCGA.4X.A9FC.01A.11R.A42C.07"
"345"	3	"TCGA.XU.A92W.01A.11R.A42C.07"
"346"	3	"TCGA.XM.A8RD.01A.11R.A42C.07"
"347"	3	"TCGA.4V.A9QT.01A.11R.A42C.07"
"348"	3	"TCGA.XM.A8RH.01A.11R.A42C.07"
"349"	3	"TCGA.3S.AAYX.01A.11R.A42C.07"
"350"	3	"TCGA.XM.A8RB.01A.11R.A42C.07"
"351"	3	"TCGA.XM.A8RL.01A.11R.A42C.07"
"352"	3	"TCGA.3G.AB0O.01A.22R.A42C.07"
"353"	3	"TCGA.X7.A8D7.01A.11R.A42C.07"
"354"	3	"TCGA.ZB.A96R.01A.11R.A42S.07"
"355"	3	"TCGA.XU.A92U.01A.11R.A42C.07"
"356"	3	"TCGA.XH.A853.01A.11R.A42C.07"
"357"	3	"TCGA.YT.A95H.01A.11R.A42S.07"
"358"	3	"TCGA.X7.A8DB.01A.11R.A42C.07"
"359"	3	"TCGA.X7.A8M8.01A.11R.A42C.07"
"360"	3	"TCGA.XM.A8RE.01A.11R.A42C.07"
"361"	3	"TCGA.XM.A8RI.01A.12R.A42C.07"
"362"	3	"TCGA.XM.A8R9.01A.31R.A42C.07"
"363"	3	"TCGA.ZC.AAAA.01A.11R.A42S.07"
"364"	3	"TCGA.XU.A930.01A.11R.A42C.07"
"365"	3	"TCGA.XM.A8RC.01A.11R.A42C.07"
"366"	3	"TCGA.XU.A92Y.01A.11R.A42C.07"
"367"	3	"TCGA.4X.A9FD.01A.11R.A42C.07"
"368"	3	"TCGA.ZB.A96F.01A.11R.A42S.07"
"369"	3	"TCGA.XU.A92O.01A.11R.A42C.07"
"370"	3	"TCGA.3G.AB14.01A.11R.A42C.07"
"371"	3	"TCGA.4V.A9QL.01A.11R.A42C.07"
"372"	3	"TCGA.5K.AAAP.01A.11R.A42C.07"
"373"	3	"TCGA.3G.AB0T.01A.11R.A42C.07"
"374"	3	"TCGA.X7.A8DD.01A.11R.A42C.07"
"375"	3	"TCGA.4V.A9QW.01A.11R.A42C.07"
"376"	3	"TCGA.XU.AAY0.01A.11R.A42C.07"
"377"	3	"TCGA.XU.AAXY.01A.11R.A42C.07"
"378"	3	"TCGA.XU.A932.01A.11R.A42C.07"
"379"	3	"TCGA.X7.A8M7.01A.11R.A42C.07"
"380"	3	"TCGA.4X.A9F9.01A.11R.A42C.07"
"381"	3	"TCGA.ZC.AAAH.01A.11R.A42S.07"
"382"	3	"TCGA.4V.A9QJ.01A.11R.A42C.07"
"383"	3	"TCGA.XM.AAZ1.01A.11R.A42C.07"
"384"	3	"TCGA.ZB.A96A.01A.11R.A42S.07"
"385"	3	"TCGA.ZC.AAAF.01A.11R.A42S.07"
"386"	3	"TCGA.X7.A8DF.01A.11R.A42C.07"
"387"	3	"TCGA.XU.AAY1.01A.11R.A42C.07"
"388"	3	"TCGA.ZB.A96G.01A.11R.A42S.07"
"389"	3	"TCGA.ZB.A96O.01A.11R.A42S.07"
"390"	3	"TCGA.4V.A9QR.01A.11R.A42C.07"
"391"	3	"TCGA.5V.A9RR.01A.11R.A42C.07"
"392"	3	"TCGA.XU.A92X.01A.11R.A42C.07"
"393"	3	"TCGA.5U.AB0E.01A.11R.A42C.07"
"394"	3	"TCGA.XU.AAXZ.01A.11R.A466.07"
"395"	3	"TCGA.5U.AB0F.01A.11R.A42C.07"
"396"	3	"TCGA.X7.A8M6.01A.11R.A42C.07"
"397"	3	"TCGA.ZT.A8OM.01A.11R.A42S.07"
"398"	4	"TCGA.GF.A6C9.06A.11R.A311.07"
"399"	4	"TCGA.GN.A266.06A.11R.A18T.07"
"400"	4	"TCGA.GN.A26C.01A.11R.A18T.07"
"401"	4	"TCGA.DX.A8BQ.01A.11R.A37L.07"
"402"	4	"TCGA.SG.A849.01A.11R.A355.07"
"403"	4	"TCGA.DX.A6YU.01A.12R.A33J.07"
"404"	4	"TCGA.DX.AB32.01A.11R.A41I.07"
"405"	4	"TCGA.GN.A265.06A.21R.A18T.07"
"406"	4	"TCGA.K4.A5RH.01A.11R.A30C.07"
"407"	4	"TCGA.3B.A9HT.01A.11R.A39D.07"
"408"	4	"TCGA.DX.AB2Z.01A.11R.A38C.07"
"409"	4	"TCGA.DX.A8BP.01A.11R.A37L.07"
"410"	4	"TCGA.UE.A6QU.01A.12R.A32Q.07"
"411"	4	"TCGA.ZN.A9VW.01A.11R.A40A.07"
"412"	4	"TCGA.N6.A4VF.01A.31R.A28V.07"
"413"	4	"TCGA.DX.AB2T.01A.11R.A38C.07"
"414"	4	"TCGA.VT.A80J.01A.11R.A36F.07"
"415"	4	"TCGA.X6.A8C3.01A.11R.A36F.07"
"416"	4	"TCGA.QQ.A5VB.01A.11R.A36F.07"
"417"	4	"TCGA.WK.A8Y0.01A.11R.A41I.07"
"418"	4	"TCGA.CC.A7IJ.01A.11R.A33R.07"
"419"	4	"TCGA.2J.AABP.01A.11R.A41B.07"
"420"	4	"TCGA.CC.A3M9.01A.11R.A213.07"
"421"	4	"TCGA.DX.A3M2.01A.21R.A22K.07"
"422"	4	"TCGA.MB.A5Y9.01A.11R.A29R.07"
"423"	4	"TCGA.3B.A9HO.01A.11R.A38C.07"
"424"	4	"TCGA.DX.A3LU.01A.11R.A21T.07"
"425"	4	"TCGA.DX.AB37.01A.11R.A41I.07"
"426"	4	"TCGA.DX.AB2G.01A.11R.A39D.07"
"427"	4	"TCGA.DX.A2J1.01A.11R.A21T.07"
"428"	4	"TCGA.DX.A6BF.01A.11R.A30C.07"
"429"	4	"TCGA.DX.A23T.01A.11R.A26T.07"
"430"	4	"TCGA.DX.A7ES.01A.31R.A39D.07"
"431"	4	"TCGA.DX.A8BN.01A.11R.A37L.07"
"432"	4	"TCGA.K1.A6RU.01A.11R.A32Q.07"
"433"	4	"TCGA.DX.A3U5.01A.11R.A22K.07"
"434"	4	"TCGA.DX.A8BR.01A.11R.A41I.07"
"435"	4	"TCGA.DX.A23V.01A.11R.A29R.07"
"436"	4	"TCGA.DX.A3LY.01B.11R.A27Q.07"
"437"	4	"TCGA.LK.A4O2.01A.11R.A34F.07"
"438"	4	"TCGA.E7.A7DV.01A.11R.A33J.07"
"439"	4	"TCGA.DX.A8BO.01A.11R.A41I.07"
"440"	4	"TCGA.QC.A6FX.01A.11R.A32Q.07"
"441"	4	"TCGA.QQ.A5V9.01A.11R.A32Q.07"
"442"	4	"TCGA.DX.AB2W.01A.11R.A39D.07"
"443"	4	"TCGA.OR.A5J8.01A.11R.A29S.07"
"444"	4	"TCGA.WK.A8XO.01A.11R.A37L.07"
"445"	4	"TCGA.G2.AA3C.01A.21R.A39I.07"
"446"	4	"TCGA.X6.A7W8.01A.21R.A355.07"
"447"	4	"TCGA.DX.A7ET.01A.11R.A36F.07"
"448"	4	"TCGA.DX.A8BK.01A.11R.A37L.07"
